# BARRY GUI bad-channel export -- every recorded session -- 116 row(s) from 180 session(s) -- taken 2026-09-02T19:44:48
project,mouse,session,date,label,channel,n_bad,n_channels,marked_by,marked_at,note,path,key
PTEN,1,2,2023-10-02,PTEN m1 s2 2023-10-02,18,2,30,theexaminedexistence@gmail.com,2026-09-02T19:41:45-04:00,,D:\PTEN\PTEN\M1_Pten\M1ptens2oct2\2023-10-02_16-58-03,m001_s002_2023-10-02_16-58-03
PTEN,1,2,2023-10-02,PTEN m1 s2 2023-10-02,59,2,30,theexaminedexistence@gmail.com,2026-09-02T19:41:45-04:00,,D:\PTEN\PTEN\M1_Pten\M1ptens2oct2\2023-10-02_16-58-03,m001_s002_2023-10-02_16-58-03
PTEN,1,8,2023-10-05,PTEN m1 s8 2023-10-05,59,1,,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\PTEN\M1_Pten\M1ptens8oct4\2023-10-05_14-09-57,m001_s008_2023-10-05_14-09-57
PTEN,2,3,2024-01-23,PTEN m2 s3 2024-01-23,59,1,,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\CTL\M2_CTL\M2ctls3jan23\2024-01-23_16-04-25,m002_s003_2024-01-23_16-04-25
PTEN,2,8,2024-01-26,PTEN m2 s8 2024-01-26,59,1,,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\CTL\M2_CTL\M2s8jan26\2024-01-26_17-48-00,m002_s008_2024-01-26_17-48-00
PTEN,3,2,2023-09-20,PTEN m3 s2 2023-09-20,41,2,32,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\PTEN\M3_pten\m3s2sept20\2023-09-20_12-55-14,m003_s002_2023-09-20_12-55-14
PTEN,3,2,2023-09-20,PTEN m3 s2 2023-09-20,59,2,32,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\PTEN\M3_pten\m3s2sept20\2023-09-20_12-55-14,m003_s002_2023-09-20_12-55-14
PTEN,3,7,2023-09-22,PTEN m3 s7 2023-09-22,41,2,,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\PTEN\M3_pten\m3s7sept22\2023-09-22_16-15-23,m003_s007_2023-09-22_16-15-23
PTEN,3,7,2023-09-22,PTEN m3 s7 2023-09-22,59,2,,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\PTEN\M3_pten\m3s7sept22\2023-09-22_16-15-23,m003_s007_2023-09-22_16-15-23
PTEN,5,2,2023-11-16,PTEN m5 s2 2023-11-16,8,2,,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\PTEN\M5_Pten\M5s2nov16\2023-11-16_14-11-05,m005_s002_2023-11-16_14-11-05
PTEN,5,2,2023-11-16,PTEN m5 s2 2023-11-16,59,2,,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\PTEN\M5_Pten\M5s2nov16\2023-11-16_14-11-05,m005_s002_2023-11-16_14-11-05
PTEN,5,7,2023-11-17,PTEN m5 s7 2023-11-17,8,2,,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\PTEN\M5_Pten\M5s7nov17\2023-11-17_14-23-24,m005_s007_2023-11-17_14-23-24
PTEN,5,7,2023-11-17,PTEN m5 s7 2023-11-17,59,2,,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\PTEN\M5_Pten\M5s7nov17\2023-11-17_14-23-24,m005_s007_2023-11-17_14-23-24
PTEN,6,4,2023-09-13,PTEN m6 s4 2023-09-13,47,2,,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\CTL\M6_PtenMissCTL\M6s4sept13\2023-09-13_17-24-49,m006_s004_2023-09-13_17-24-49
PTEN,6,4,2023-09-13,PTEN m6 s4 2023-09-13,59,2,,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\CTL\M6_PtenMissCTL\M6s4sept13\2023-09-13_17-24-49,m006_s004_2023-09-13_17-24-49
PTEN,6,8,2023-09-14,PTEN m6 s8 2023-09-14,59,1,,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\CTL\M6_PtenMissCTL\M6s8sept14\2023-09-14_18-04-54,m006_s008_2023-09-14_18-04-54
PTEN,7,2,2023-08-22,PTEN m7 s2 2023-08-22,55,2,30,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\PTEN\M7_HF5_pten\M7s2aug22\2023-08-22_15-46-13,m007_s002_2023-08-22_15-46-13
PTEN,7,2,2023-08-22,PTEN m7 s2 2023-08-22,59,2,30,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\PTEN\M7_HF5_pten\M7s2aug22\2023-08-22_15-46-13,m007_s002_2023-08-22_15-46-13
PTEN,7,6,2023-08-24,PTEN m7 s6 2023-08-24,55,2,,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\PTEN\M7_HF5_pten\M7s6aug24\2023-08-24_13-49-57,m007_s006_2023-08-24_13-49-57
PTEN,7,6,2023-08-24,PTEN m7 s6 2023-08-24,59,2,,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\PTEN\M7_HF5_pten\M7s6aug24\2023-08-24_13-49-57,m007_s006_2023-08-24_13-49-57
PTEN,8,2,2024-02-06,PTEN m8 s2 2024-02-06,57,2,,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\PTEN\M8_Pten\M8s2feb6\2024-02-06_17-52-07,m008_s002_2024-02-06_17-52-07
PTEN,8,2,2024-02-06,PTEN m8 s2 2024-02-06,59,2,,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\PTEN\M8_Pten\M8s2feb6\2024-02-06_17-52-07,m008_s002_2024-02-06_17-52-07
PTEN,8,9,2024-02-09,PTEN m8 s9 2024-02-09,59,1,,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\PTEN\M8_Pten\M8s9feb8\2024-02-09_16-43-46,m008_s009_2024-02-09_16-43-46
PTEN,10,4,2023-08-23,PTEN m10 s4 2023-08-23,41,3,32,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\PTEN\M10_HF6_pten\m10s4aug23\2023-08-23_17-14-35,m010_s004_2023-08-23_17-14-35
PTEN,10,4,2023-08-23,PTEN m10 s4 2023-08-23,55,3,32,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\PTEN\M10_HF6_pten\m10s4aug23\2023-08-23_17-14-35,m010_s004_2023-08-23_17-14-35
PTEN,10,4,2023-08-23,PTEN m10 s4 2023-08-23,59,3,32,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\PTEN\M10_HF6_pten\m10s4aug23\2023-08-23_17-14-35,m010_s004_2023-08-23_17-14-35
PTEN,10,7,2023-08-28,PTEN m10 s7 2023-08-28,41,3,,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\PTEN\M10_HF6_pten\m10s7aug28\2023-08-28_14-17-49,m010_s007_2023-08-28_14-17-49
PTEN,10,7,2023-08-28,PTEN m10 s7 2023-08-28,55,3,,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\PTEN\M10_HF6_pten\m10s7aug28\2023-08-28_14-17-49,m010_s007_2023-08-28_14-17-49
PTEN,10,7,2023-08-28,PTEN m10 s7 2023-08-28,59,3,,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\PTEN\M10_HF6_pten\m10s7aug28\2023-08-28_14-17-49,m010_s007_2023-08-28_14-17-49
PTEN,11,10,2023-07-25,PTEN m11 s10 2023-07-25,59,1,25,theexaminedexistence@gmail.com,2026-09-02T19:44:41-04:00,,D:\PTEN\PTEN\M11_Pten\HF2_s10jul25\2023-07-25_14-40-32,m011_s010_2023-07-25_14-40-32
PTEN,11,11,2023-07-25,PTEN m11 s11 2023-07-25,59,1,,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\PTEN\M11_Pten\HF2_s11jul25\2023-07-25_16-10-46,m011_s011_2023-07-25_16-10-46
PTEN,13,2,2023-08-01,PTEN m13 s2 2023-08-01,55,2,,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\PTEN\M13_pten\HF4s2aug1\2023-08-01_12-11-26,m013_s002_2023-08-01_12-11-26
PTEN,13,2,2023-08-01,PTEN m13 s2 2023-08-01,59,2,,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\PTEN\M13_pten\HF4s2aug1\2023-08-01_12-11-26,m013_s002_2023-08-01_12-11-26
PTEN,13,17,2023-08-04,PTEN m13 s17 2023-08-04,59,1,,theexaminedexistence@gmail.com,2026-09-02T19:23:56-04:00,,D:\PTEN\PTEN\M13_pten\HF4s17aug4\2023-08-04_13-43-48,m013_s017_2023-08-04_13-43-48
